video_id,title,published_at,duration_seconds,view_count,like_count,comment_count,tags,description,thumbnail_url
L7NocevcvgY,DIY Project! 😁🪵,2023-06-23T22:24:13Z,9,24361707,1336019,40317,,,https://i.ytimg.com/vi/L7NocevcvgY/maxresdefault.jpg
BIRDEeBjaRY,17 girlfriends,2023-06-17T12:55:39Z,20,24357733,1268436,12177,,,https://i.ytimg.com/vi/BIRDEeBjaRY/maxresdefault.jpg
B_51eOS8o5Y,bentellect tried to roast me,2023-09-11T15:31:06Z,8,23825705,1035169,18344,,,https://i.ytimg.com/vi/B_51eOS8o5Y/maxresdefault.jpg
bTuwh7Cuu-E,bad news for YouTubers…,2023-08-11T17:45:16Z,20,23500844,948301,33298,,,https://i.ytimg.com/vi/bTuwh7Cuu-E/maxresdefault.jpg
4fdGfH7Put8,Who named these towns 😭,2024-11-18T01:09:54Z,18,23394477,1055720,11332,,,https://i.ytimg.com/vi/4fdGfH7Put8/maxresdefault.jpg
yqnPOacIX1A,i found him,2023-05-14T18:19:35Z,12,23367457,767476,13340,,,https://i.ytimg.com/vi/yqnPOacIX1A/maxresdefault.jpg
rB-MzFVeQiE,police car fail,2023-12-06T00:50:21Z,18,23230970,1119518,19601,,,https://i.ytimg.com/vi/rB-MzFVeQiE/maxresdefault.jpg
sBNaNNUmjuc,infinite content glitch,2023-07-06T21:20:16Z,16,23104446,1250840,5443,,,https://i.ytimg.com/vi/sBNaNNUmjuc/maxresdefault.jpg
vDcRxQ6M6Wc,biggest stadium ever,2023-03-02T23:23:13Z,20,23004810,1387536,9114,,,https://i.ytimg.com/vi/vDcRxQ6M6Wc/maxresdefault.jpg
oj9M8QIZT3U,i don’t understand this,2023-07-13T03:47:18Z,19,22949270,1296696,38411,,,https://i.ytimg.com/vi/oj9M8QIZT3U/maxresdefault.jpg
LlNlEmSOoKc,girl spends family’s life savings,2023-06-27T23:09:55Z,15,22652284,1031986,8427,,,https://i.ytimg.com/vi/LlNlEmSOoKc/maxresdefault.jpg
NyVXS8Dz8ag,THIS IS UNFAIR!!!,2024-05-21T21:43:36Z,13,22572533,1184621,22413,,,https://i.ytimg.com/vi/NyVXS8Dz8ag/maxresdefault.jpg
nu5lXEB6AaI,they are fixing humanity 🥲,2024-03-27T23:42:35Z,23,22423942,1086791,25957,,,https://i.ytimg.com/vi/nu5lXEB6AaI/maxresdefault.jpg
HyGFkx-o_6A,delivery robot fail,2022-11-11T23:51:52Z,15,22249012,1089322,11055,,,https://i.ytimg.com/vi/HyGFkx-o_6A/maxresdefault.jpg
g-0aNs9tgqs,where’s waldo audiobook,2024-03-25T00:46:20Z,22,22230051,884215,5323,,,https://i.ytimg.com/vi/g-0aNs9tgqs/maxresdefault.jpg
xw2x8FVfwtQ,North Korea’s World Cup FAIL 😭,2024-12-31T03:15:50Z,45,22081391,993593,2876,,,https://i.ytimg.com/vi/xw2x8FVfwtQ/maxresdefault.jpg
rK8xUmt8lk0,this parrot was in a gang,2023-08-24T02:03:07Z,18,21844608,1407364,11630,,,https://i.ytimg.com/vi/rK8xUmt8lk0/maxresdefault.jpg
8azXYydNpf8,worst fashion trend,2023-09-13T01:22:25Z,15,21760969,1093185,13274,,,https://i.ytimg.com/vi/8azXYydNpf8/maxresdefault.jpg
jl-5M-gZ_Z0,Craziest reply ever 😭,2025-03-22T18:47:03Z,24,21559816,945838,8082,,,https://i.ytimg.com/vi/jl-5M-gZ_Z0/maxresdefault.jpg
Mh8qOVzC1PI,worst discount ever,2023-06-25T20:01:38Z,19,21445346,1113700,6078,,,https://i.ytimg.com/vi/Mh8qOVzC1PI/maxresdefault.jpg
tZH_aSF0gEI,body positivity fail,2023-07-02T22:57:14Z,20,21435051,1300203,12167,,,https://i.ytimg.com/vi/tZH_aSF0gEI/maxresdefault.jpg
ZjCnPlbhzwc,this needs to stop,2022-11-27T18:16:47Z,39,21184555,1049963,18188,,,https://i.ytimg.com/vi/ZjCnPlbhzwc/maxresdefault.jpg
