video_id,title,published_at,duration_seconds,view_count,like_count,comment_count,tags,description,thumbnail_url
80kpS7V5f4w,How Zero Gravity Planes Work,2025-07-16T18:26:02Z,47,14529645,554483,2160,,"I’m in a zero gravity plane. It looks like I’m floating but I’m actually freefalling - this plane is hurtling towards the ground in a 42 degree nosedive!

The whole flight is split up into 3 phases:

First the plane pitches up to 50 degrees, speeding up steeply for 20 seconds along this path. During this part you feel squished to the floor… “hypergravity”.
Until finally, when you reach the right spot, the plane dramatically slows down and basically throws you along the perfect path… 

And as you’re falling along this arc, the plane is carefully keeping itself perfectly AROUND YOU. This is where you feel “weightless”... 

If you want to see what happens inside, subscribe!

#gravity #science #tech #zerogravity #zerog",https://i.ytimg.com/vi/80kpS7V5f4w/maxresdefault.jpg
gy-hYYxgLqI,What If You Got Sucked Into A Black Hole?,2025-03-06T16:35:08Z,44,14289872,638220,6051,,"What if you got sucked into a black hole?

First you’d be smashing into burning hot gas and dust inside what’s called the accretion disk. As you get closer to the center, you’d notice the universe looks like it’s speeding up, because the black hole is so massive it’s warping space and time around you.

Going deeper, you’d reach a point where if you looked to your left or right, you might see the back of your own head! Because gravity here is so strong, light is getting bent completely around the black hole…

You’re now approaching the event horizon. Where the gravitational pull is so strong, even light can’t escape.

As you pass beyond it, in a supermassive black hole, your body is being stretched and squished. The gravity is increasing so quickly, your feet are pulled away from your head in a process called “spaghettification”

And since no light can escape the event horizon, the last we’d see of you is a slowly fading image of what you looked like right before you crossed it.

#animation #shorts #space #sciencefacts #spacefacts",https://i.ytimg.com/vi/gy-hYYxgLqI/maxresdefault.jpg
g5OWFbhhAt8,Why Does It Get Harder To Have Kids?,2024-07-05T13:48:50Z,60,14076507,831135,7907,,"Your sex ed class skipped a lot of important stuff.

You might’ve learned women are born with all the eggs they’re ever going to have - roughly 1 MILLION. But around 10,000 die every month during childhood, so most of us reach puberty with roughly ~300,000 eggs. Then each month, we release one while another 1,000 die. So over time there is this big decline in total quantity of eggs and that can be a big issue.

But another issue is how many of those eggs have 23 chromosomes. This is called “egg quality."" Most of the time, having any other number of chromosomes means the resulting embryo never implants or grows. But you only release one egg a month, and as you get older, the chances that egg doesn’t have 23 chromosomes goes up. So scientists found it’s possible to remove eggs, freeze them, and then unfreeze them to use later! Real life cryosleep!

But there are some big issues...

Watch our longer video to learn about egg freezing and subscribe here for more optimistic science and tech stories.

#Shorts #science #tech #animation #stemeducation",https://i.ytimg.com/vi/g5OWFbhhAt8/maxresdefault.jpg
qn-HrUJx1tI,How Big Other Planets REALLY Are,2024-04-17T15:33:57Z,47,13548980,664019,8737,,"How many Earths do you think would fit inside Neptune? Saturn? Our Sun?

Here are the answers! Most people don’t understand how mind-blowingly HUGE other planets in our solar system actually are. And what’s REALLY wild is there are an estimated 100 billion planets in our galaxy. There is so much out there to discover…

If you like optimistic science and tech stories, subscribe for more. This video is part of our series Huge If True.

#shorts #space #science #animation #planets",https://i.ytimg.com/vi/qn-HrUJx1tI/maxresdefault.jpg
KL6VAE7mWI4,How Big Was a Dinosaur's Brain?,2024-12-16T15:22:51Z,30,13478330,684656,1956,,"This is the actual size of the brain of a dinosaur the size of an elephant! After discovering a skull of a Pachyrhinosaurus, scientists put it through a scanner, which helped them to reconstruct what brain would have fit inside. Here's what they learned... 

If you want to know more about dinosaurs, we made a whole longer episode for you!

For more optimistic science and tech stories, subscribe for our show Huge If True.

#shorts #dinosaur #science #stem #brain",https://i.ytimg.com/vi/KL6VAE7mWI4/maxresdefault.jpg
NdJWIkwxjcA,This Plane is Bringing Supersonic BACK,2025-02-14T16:25:38Z,55,13469350,818427,5626,,"This new plane just went faster than sound, apparently WITH NO AUDIBLE SONIC BOOM! And it’s a big deal for bringing back supersonic planes YOU can fly in.

You used to be able to get from New York to London in 3 and a half hours. But that all changed when the famous Concorde stopped flying, in part because many countries banned supersonic flight over land, largely because of the BOOOOOOM it makes as it passes by.

But this plane showed how we might bring supersonic back, because the boom never made it to the ground!!

And the way they did that is pretty cool...

If you like optimistic science and tech stories, subscribe for more of our show Huge if true!

#shorts #supersonic #boom #science #plane #airplane",https://i.ytimg.com/vi/NdJWIkwxjcA/maxresdefault.jpg
7EhuJ4_X4c8,Why These Astronauts Got Stuck,2024-11-10T17:50:47Z,48,13324687,814550,4651,,"You might’ve heard two NASA astronauts are stuck on the ISS. But… why? And how will they get home?

Subscribe for more science and tech stories!

#shorts #animation #space #NASA #astronaut",https://i.ytimg.com/vi/7EhuJ4_X4c8/maxresdefault.jpg
iJ9ZAL-QbKM,200 Venomous Snake Bites... for Science,2025-06-12T14:24:44Z,54,13277721,560829,2543,,"The world’s most venomous snakes bit this man over 200 TIMES...  and scientists are happy about it! Let me explain…

Every year about 2.7 million people are bitten by venomous snakes. When this venom enters your bloodstream, in minutes or hours, it can cause tissue and neurological damage. 

The only way to counteract this is with antivenom, which attaches to the components of venom and blocks it from binding to tissues, blood cells, or nerves.

The problem is…

Now, scientists believe this could hold the key to an ""unparalleled"" breakthrough in antivenom.

Subscribe for more optimistic science and tech stories!

#science #snake #historyfacts #animation",https://i.ytimg.com/vi/iJ9ZAL-QbKM/maxresdefault.jpg
pN_HEhrTKUg,Would Dune Ornithopters Work In Real Life?,2024-03-14T13:16:54Z,58,12960647,647662,6450,,"Why don’t Dune ornithopters exist in real life? They're so cool looking! To answer that question, here’s how a helicopter works and how these ornithopters would compare… 

But my favorite part of the story is this: Helicopters themselves were inspired in part by science fiction. The father of modern helicopters, Igor Sikorsky, said he was inspired by a fictional version in a Jules Verne book he read as a kid. He often used to quote Verne: ""Anything that one man can imagine, another man can make real."" I love that.

If you like optimistic stories about tech, follow for more...

3D model credit: @OutworldStudios 
Model download: https://sketchfab.com/3d-models/dune-ornithopter-9d7e8fd437c44c1c956e5935d826ab86

#shorts #dune #dune2 #tech #scifi #science #helicopter #ornithopter",https://i.ytimg.com/vi/pN_HEhrTKUg/maxresdefault.jpg
IqkEf2nBmRY,What If You Dove Into Saturn?,2025-04-26T15:18:22Z,54,12943507,369925,2666,,"If you dug a hole into Saturn, the first thing you'd realize is most of it isn't solid!

It's got a frigid atmosphere of hydrogen and helium with icy ammonia clouds with winds that are about 4 times faster than the strongest hurricane winds on earth! As we fall deeper into its layers, we discover more new and other-worldly things along the way...

If you want optimistic science and tech stories, subscribe for more of our show Huge If True!

#animation #science #space #saturn #digging",https://i.ytimg.com/vi/IqkEf2nBmRY/maxresdefault.jpg
